#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,
stack,1,0,12,411.86,86.65,90.00,0402,C_0402_1005Metric/100nF,1.80,100,2.00,100,Yes,-40,1,60,2,40,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,2,0,12,411.75,100.31,90.00,0402,C_0402_1005Metric/120pF,1.80,100,2.00,100,Yes,-40,1,60,2,40,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,3,0,12,410.94,113.57,90.00,0603,LED_0603_1608Metric/LED,1.80,100,1.80,100,Yes,-40,1,60,4,60,60,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,4,0,12,411.08,126.98,90.00,0402,R_0402_1005Metric/100k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,5,0,12,411.27,140.47,90.00,0402,R_0402_1005Metric/4k7,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,6,0,12,411.53,153.78,90.00,0402,R_0402_1005Metric/220,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,11,0,12,411.19,308.13,90.00,0402,R_0402_1005Metric/450k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,12,0,12,412.01,321.81,90.00,0402,R_0402_1005Metric/200k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,13,0,12,411.71,335.38,90.00,0402,R_0402_1005Metric/20k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,14,0,12,410.82,348.96,90.00,0402,R_0402_1005Metric/30k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,15,0,12,411.61,362.56,90.00,0402,R_0402_1005Metric/1k,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
stack,16,0,1,410.08,356.01,90.00,,,0.50,0,0.00,0,No,-40,1,100,2,50,40,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,20,0,12,25.17,20.47,90.00,0402,R_0402_1005Metric/2k2,1.80,100,2.00,100,Yes,-40,1,60,2,50,40,No,No,-65,-65,-40,-40,-1,-1,0,0,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
mark,Whole,Auto,264.007,40.9539,326.113,121.128,263.626,120.935,326.353,41.2423,
markext,0,0.8,3,1,75,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
markext,3,0.8,3,1,0,
test,No,
mirror_create,1,1,286.43,58.21,0,0,0,0,0,
mirror,286.34,58.20,0,No,
#SMD,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,1,1,C4,100nF,C_0402_1005Metric,286.39,58.21,-90.00,No,
comp,1,2,C4,100nF,C_0402_1005Metric,286.21,94.76,-90.00,No,
comp,1,1,C14,100nF,C_0402_1005Metric,288.65,103.09,0.00,No,
comp,1,2,C14,100nF,C_0402_1005Metric,288.83,66.53,0.00,No,
comp,1,1,C32,100nF,C_0402_1005Metric,277.64,49.48,180.00,No,
comp,1,2,C32,100nF,C_0402_1005Metric,277.48,85.97,180.00,No,
comp,2,1,C42,120pF,C_0402_1005Metric,301.46,104.60,0.00,No,
comp,2,2,C42,120pF,C_0402_1005Metric,301.65,68.07,0.00,No,
comp,2,1,C47,120pF,C_0402_1005Metric,256.29,109.44,-90.00,No,
comp,2,2,C47,120pF,C_0402_1005Metric,256.42,72.91,-90.00,No,
comp,2,1,C52,120pF,C_0402_1005Metric,288.15,77.61,180.00,No,
comp,2,2,C52,120pF,C_0402_1005Metric,288.00,114.16,180.00,No,
comp,3,1,D1,LED,LED_0603_1608Metric,306.32,78.45,180.00,No,
comp,3,2,D1,LED,LED_0603_1608Metric,306.17,115.03,180.00,No,
comp,3,1,D3,LED,LED_0603_1608Metric,326.67,78.55,180.00,No,
comp,3,2,D3,LED,LED_0603_1608Metric,326.49,115.10,180.00,No,
comp,4,1,R2,100k,R_0402_1005Metric,290.32,113.50,0.00,No,
comp,6,2,R2,220,R_0402_1005Metric,326.52,77.26,0.00,No,
comp,6,1,R2,220,R_0402_1005Metric,326.41,113.83,0.00,No,
comp,4,2,R2,100k,R_0402_1005Metric,290.48,76.98,0.00,No,
comp,5,1,R4,4k7,R_0402_1005Metric,277.47,84.98,0.00,No,
comp,6,2,R4,220,R_0402_1005Metric,323.95,112.16,90.00,No,
comp,6,1,R4,220,R_0402_1005Metric,324.11,75.58,90.00,No,
comp,5,2,R4,4k7,R_0402_1005Metric,277.63,48.48,0.00,No,
comp,4,1,R5,100k,R_0402_1005Metric,324.97,112.13,-90.00,No,
comp,4,2,R5,100k,R_0402_1005Metric,325.13,75.62,-90.00,No,
comp,4,1,R6,100k,R_0402_1005Metric,257.11,112.05,-90.00,No,
comp,4,2,R6,100k,R_0402_1005Metric,257.24,75.49,-90.00,No,
comp,6,1,R6,220,R_0402_1005Metric,306.21,74.16,0.00,No,
comp,6,2,R6,220,R_0402_1005Metric,306.09,110.74,0.00,No,
comp,11,1,R12,450k,R_0402_1005Metric,301.51,103.68,0.00,No,
comp,11,2,R12,450k,R_0402_1005Metric,301.61,67.11,0.00,No,
comp,6,1,R13,220,R_0402_1005Metric,306.24,77.18,0.00,No,
comp,6,2,R13,220,R_0402_1005Metric,306.09,113.73,0.00,No,
comp,4,1,R16,100k,R_0402_1005Metric,301.47,102.81,0.00,No,
comp,4,2,R16,100k,R_0402_1005Metric,301.62,66.22,0.00,No,
comp,12,1,R17,200k,R_0402_1005Metric,257.30,72.88,-90.00,No,
comp,12,2,R17,200k,R_0402_1005Metric,257.20,109.40,-90.00,No,
comp,4,1,R18,100k,R_0402_1005Metric,258.26,72.86,-90.00,No,
comp,4,2,R18,100k,R_0402_1005Metric,258.14,109.42,-90.00,No,
comp,13,1,R19,20k,R_0402_1005Metric,288.00,113.23,0.00,No,
comp,13,2,R19,20k,R_0402_1005Metric,288.14,76.69,0.00,No,
comp,5,1,R20,4k7,R_0402_1005Metric,275.62,51.67,90.00,No,
comp,5,2,R20,4k7,R_0402_1005Metric,275.51,88.17,90.00,No,
comp,14,1,R21,30k,R_0402_1005Metric,288.01,112.32,0.00,No,
comp,14,2,R21,30k,R_0402_1005Metric,288.15,75.75,0.00,No,
comp,15,1,R22,1k,R_0402_1005Metric,329.53,60.18,90.00,No,
comp,15,2,R22,1k,R_0402_1005Metric,329.36,96.76,90.00,No,
comp,5,1,R23,4k7,R_0402_1005Metric,329.31,102.30,90.00,No,
comp,5,2,R23,4k7,R_0402_1005Metric,329.49,65.74,90.00,No,
comp,5,1,R30,4k7,R_0402_1005Metric,274.67,51.68,90.00,No,
comp,5,2,R30,4k7,R_0402_1005Metric,274.57,88.17,90.00,No,
comp,5,1,R31,4k7,R_0402_1005Metric,273.73,51.70,90.00,No,
comp,5,2,R31,4k7,R_0402_1005Metric,273.63,88.18,90.00,No,
comp,20,1,R32,2k2,R_0402_1005Metric,271.52,88.14,-90.00,Yes,
comp,20,2,R32,2k2,R_0402_1005Metric,271.64,51.62,-90.00,Yes,
